date,open,high,low,close,volume,average,barCount
2024-12-05 15:40:00,521.96,522.18,521.9,522.18,21302,522.046,144
2024-12-05 15:45:00,522.17,522.27,521.9,521.96,17036,522.12,109
2024-12-05 15:50:00,521.95,522.19,521.48,521.64,42351,521.975,295
2024-12-05 15:55:00,521.68,521.91,521.46,521.8,137832,521.714,728
2024-12-06 09:30:00,522.46,523.44,522.39,523.22,66745,522.956,401
2024-12-06 09:35:00,523.22,523.61,523.07,523.44,23006,523.378,137
2024-12-06 09:40:00,523.45,523.99,523.25,523.85,21686,523.66,118
2024-12-06 09:45:00,523.96,525.01,523.86,524.91,40071,524.612,256
2024-12-06 09:50:00,524.98,525.38,524.66,525.37,35415,525.139,227
2024-12-06 09:55:00,525.34,525.39,524.88,525.19,30569,525.083,181
2024-12-06 10:00:00,525.28,525.61,525.08,525.1,22115,525.296,138
2024-12-06 10:05:00,525.14,525.38,524.93,525.3,14190,525.119,92
2024-12-06 10:10:00,525.29,525.87,525.27,525.67,34851,525.528,192
2024-12-06 10:15:00,525.62,526.18,525.6,526.02,27387,525.894,188
2024-12-06 10:20:00,525.95,526.01,525.64,525.66,13050,525.861,85
2024-12-06 10:25:00,525.66,525.98,525.5,525.86,17084,525.765,99
2024-12-06 10:30:00,525.89,525.9,525.51,525.55,13049,525.64,85
2024-12-06 10:35:00,525.6,526.03,525.59,525.89,19003,525.858,127
2024-12-06 10:40:00,525.93,525.93,525.54,525.54,8796,525.704,47
2024-12-06 10:45:00,525.54,525.75,525.44,525.61,7787,525.565,48
2024-12-06 10:50:00,525.69,525.77,524.97,525.07,32693,525.273,215
2024-12-06 10:55:00,525.1,525.63,524.99,525.54,12009,525.406,87
2024-12-06 11:00:00,525.57,525.72,525.49,525.62,10509,525.623,75
2024-12-06 11:05:00,525.63,525.88,525.07,525.35,20156,525.603,121
2024-12-06 11:10:00,525.37,525.39,524.45,524.95,29260,524.869,177
2024-12-06 11:15:00,524.97,525.44,524.97,525.21,30661,525.294,179
2024-12-06 11:20:00,525.16,525.33,524.97,525.14,10920,525.148,88
2024-12-06 11:25:00,525.22,525.65,525.09,525.55,14004,525.416,94
2024-12-06 11:30:00,525.59,525.87,525.42,525.82,14240,525.744,102
2024-12-06 11:35:00,525.81,525.93,525.68,525.89,9632,525.846,78
2024-12-06 11:40:00,525.89,525.89,525.58,525.64,4447,525.723,35
2024-12-06 11:45:00,525.52,525.58,525.19,525.28,8126,525.363,60
2024-12-06 11:50:00,525.26,525.47,525.14,525.25,6216,525.291,51
2024-12-06 11:55:00,525.24,525.54,525.23,525.43,8720,525.414,64
2024-12-06 12:00:00,525.4,525.58,524.99,525.07,8092,525.341,61
2024-12-06 12:05:00,525.11,525.67,525.11,525.63,9404,525.318,69
2024-12-06 12:10:00,525.63,525.68,525.55,525.6,7884,525.62,67
2024-12-06 12:15:00,525.68,525.83,525.54,525.55,8824,525.731,69
2024-12-06 12:20:00,525.54,525.91,525.48,525.81,9081,525.679,48
2024-12-06 12:25:00,525.64,525.91,525.64,525.87,4895,525.837,40
2024-12-06 12:30:00,525.94,525.95,525.6,525.64,12978,525.794,102
2024-12-06 12:35:00,525.69,525.74,525.54,525.63,7841,525.624,54
2024-12-06 12:40:00,525.57,525.61,525.21,525.21,9568,525.379,57
2024-12-06 12:45:00,525.28,525.59,525.25,525.59,13279,525.384,79
2024-12-06 12:50:00,525.57,525.8,525.43,525.77,8544,525.61,65
2024-12-06 12:55:00,525.78,525.82,525.46,525.53,9831,525.713,53
2024-12-06 13:00:00,525.52,525.91,525.46,525.85,11825,525.684,63
2024-12-06 13:05:00,525.89,526.38,525.89,526.24,20041,526.19,133
2024-12-06 13:10:00,526.25,526.53,526.23,526.49,14316,526.412,92
2024-12-06 13:15:00,526.51,526.66,526.44,526.57,13797,526.543,106
2024-12-06 13:20:00,526.57,526.7,526.57,526.67,11471,526.645,79
2024-12-06 13:25:00,526.66,526.66,526.48,526.49,13508,526.555,89
2024-12-06 13:30:00,526.49,526.49,526.17,526.2,10932,526.304,73
2024-12-06 13:35:00,526.21,526.27,526.05,526.16,10020,526.185,67
2024-12-06 13:40:00,526.17,526.28,526.07,526.13,17282,526.179,111
2024-12-06 13:45:00,526.17,526.34,526.08,526.34,10996,526.197,91
2024-12-06 13:50:00,526.36,526.46,526.25,526.31,11786,526.327,84
2024-12-06 13:55:00,526.32,526.47,526.22,526.46,9274,526.352,75
2024-12-06 14:00:00,526.46,526.47,526.07,526.1,10213,526.276,83
2024-12-06 14:05:00,526.09,526.11,525.85,525.9,8168,525.976,62
2024-12-06 14:10:00,525.82,525.82,525.5,525.74,12339,525.655,91
2024-12-06 14:15:00,525.72,525.8,525.43,525.67,15150,525.594,100
2024-12-06 14:20:00,525.67,525.91,525.67,525.68,12671,525.775,75
2024-12-06 14:25:00,525.69,525.72,525.53,525.53,10017,525.645,60
2024-12-06 14:30:00,525.54,525.67,525.38,525.62,11548,525.532,74
2024-12-06 14:35:00,525.69,525.83,525.65,525.81,12946,525.728,70
2024-12-06 14:40:00,525.8,525.85,525.63,525.83,9909,525.727,53
2024-12-06 14:45:00,525.85,526.14,525.85,526.02,15571,526.028,107
2024-12-06 14:50:00,526.0,526.21,526.0,526.12,10649,526.147,85
2024-12-06 14:55:00,526.13,526.13,525.91,525.91,10727,526.014,82
2024-12-06 15:00:00,525.91,525.92,525.71,525.9,11853,525.845,81
2024-12-06 15:05:00,525.89,526.08,525.87,526.03,11438,525.97,87
2024-12-06 15:10:00,526.03,526.22,526.0,526.11,9673,526.104,67
2024-12-06 15:15:00,526.11,526.24,526.02,526.23,13593,526.127,109
2024-12-06 15:20:00,526.2,526.28,526.15,526.24,18389,526.199,126
2024-12-06 15:25:00,526.25,526.25,526.04,526.22,28772,526.14,204
2024-12-06 15:30:00,526.2,526.41,526.12,526.31,24234,526.335,169
2024-12-06 15:35:00,526.31,526.38,526.1,526.21,28714,526.234,183
2024-12-06 15:40:00,526.19,526.35,526.19,526.31,32640,526.298,228
2024-12-06 15:45:00,526.32,526.4,526.09,526.09,30926,526.228,209
2024-12-06 15:50:00,526.08,526.48,525.92,526.32,68111,526.333,454
2024-12-06 15:55:00,526.3,526.62,526.3,526.51,270674,526.505,1358
2024-12-09 09:30:00,525.56,526.19,524.76,525.02,68097,525.546,388
2024-12-09 09:35:00,524.92,525.67,524.91,525.54,31362,525.277,187
2024-12-09 09:40:00,525.43,525.87,525.43,525.75,22773,525.637,122
2024-12-09 09:45:00,525.77,526.31,525.77,526.3,22337,526.052,155
2024-12-09 09:50:00,526.28,526.34,525.75,526.2,17737,526.042,114
2024-12-09 09:55:00,526.22,526.27,525.55,525.71,19632,525.805,130
2024-12-09 10:00:00,525.73,525.95,525.5,525.78,21377,525.718,137
2024-12-09 10:05:00,525.77,525.83,525.5,525.64,17564,525.681,99
2024-12-09 10:10:00,525.65,525.74,525.34,525.46,11587,525.537,86
2024-12-09 10:15:00,525.48,525.67,525.2,525.32,17722,525.418,130
2024-12-09 10:20:00,525.3,525.54,525.09,525.09,13163,525.36,94
