date,time,type,trigger_level,entry_price,orb_high,orb_low,orb_range,volume,rsi,confidence_score,confidence_level,breakout_pct
2024-11-13,2024-11-13 10:00:00,SHORT,511.71,511.29,513.03,511.71,1.3199999999999932,10316,35.977337110481926,6.5,HIGH,31.818181818178882
2024-11-14,2024-11-14 10:19:00,SHORT,510.18,509.56,512.79,510.18,2.609999999999957,20523,32.66475644699146,9.5,HIGH,23.754789272031218
2024-11-15,2024-11-15 09:58:00,SHORT,501.24,501.19,503.31,501.24,2.069999999999993,22954,44.247787610619646,4.0,MEDIUM,2.4154589371986246
2024-11-18,2024-11-18 09:53:00,SHORT,497.01,496.92,498.42,497.01,1.410000000000025,21034,23.809523809524407,6.0,HIGH,6.382978723402369
2024-11-19,2024-11-19 10:29:00,LONG,499.0,499.39,499.0,497.1,1.8999999999999773,14942,80.24193548387214,3.0,LOW,20.526315789473212
2024-11-20,2024-11-20 09:57:00,SHORT,500.39,500.33,503.2,500.39,2.8100000000000023,10044,41.13712374581842,8.5,HIGH,2.135231316726058
2024-11-21,2024-11-21 10:01:00,SHORT,500.31,500.1,506.93,500.31,6.6200000000000045,65348,25.41133455210175,6.0,HIGH,3.1722054380661535
2024-11-22,2024-11-22 10:11:00,SHORT,504.06,503.72,506.36,504.06,2.3000000000000114,8075,29.17647058823495,2.0,LOW,14.782608695651014
2024-11-25,2024-11-25 09:53:00,SHORT,508.49,507.97,511.44,508.49,2.9499999999999886,19748,23.13432835820906,3.0,LOW,17.627118644067245
2024-11-26,2024-11-26 09:51:00,LONG,509.94,509.97,509.94,508.15,1.7900000000000205,8365,57.222222222222605,7.5,HIGH,1.675977653632917
2024-11-27,2024-11-27 09:54:00,SHORT,506.18,505.93,508.24,506.18,2.0600000000000023,8604,36.065573770491646,5.5,MEDIUM,12.135922330097074
2024-11-29,2024-11-29 09:52:00,LONG,507.17,507.26,507.17,505.31,1.8600000000000136,7335,64.72727272727246,8.5,HIGH,4.838709677417975
2024-12-02,2024-12-02 09:52:00,LONG,513.6,513.66,513.6,510.62,2.980000000000018,6881,59.58904109588998,8.5,HIGH,2.0134228187901027
